date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-10,470.0,4739261,442,4,-303,142,,,,,,,False,False,False
2021-08-11,460.0,2950874,22,-30,-153,-161,,,,,,,False,False,False
2021-08-12,455.5,1897128,-194,33,-27,-187,,,,,,,False,False,False
2021-08-13,434.0,3299749,-174,60,-74,-188,,,,,,,False,False,False
2021-08-16,419.5,4306002,492,-20,-39,433,,,,,,,False,False,False
2021-08-17,417.0,1999284,-506,41,-49,-513,,,,,,,False,False,False
2021-08-18,443.0,3293297,-330,0,-50,-381,,,,,,,False,False,False
2021-08-19,418.5,2554815,-218,46,-65,-238,,,,,,,False,False,False
2021-08-20,415.5,1987070,-81,3,-4,-82,,9.93,9.93,,,,False,False,False
2021-08-23,423.0,1124925,172,0,-13,158,,14.61,11.49,,,,True,False,False
2021-08-24,422.5,1733510,-49,-17,-3,-70,,18.46,13.81,,,,True,False,False
2021-08-25,432.0,1265299,364,0,5,369,,29.72,19.11,,,,True,False,False
2021-08-26,419.0,1937136,90,-120,-19,-49,,29.4,22.54,,,,False,False,False
2021-08-27,417.5,2620210,275,-160,21,136,,27.11,24.07,,,,False,False,False
2021-08-30,421.5,1417299,261,0,12,273,,29.34,25.82,23.32,,,False,False,False
2021-08-31,427.0,1653225,478,0,-7,472,,40.77,30.81,26.57,,,False,False,False
2021-09-01,436.5,1852683,522,0,50,572,,60.52,40.71,31.95,,,False,False,False
2021-09-02,424.0,1877305,-401,-1,-18,-421,,58.24,46.55,28.94,,,False,False,False
2021-09-03,424.5,1534685,-217,0,16,-201,,57.35,50.15,29.23,,,False,False,False
2021-09-06,415.0,1256285,-8,-92,-9,-109,,45.02,48.44,27.0,461.42,398.13,False,False,False
2021-09-07,421.0,1547542,238,-21,65,282,,44.21,47.03,30.6,452.86,401.79,False,False,False
2021-09-08,411.5,1359075,-253,14,-58,-297,,31.94,42.0,28.23,446.23,403.57,False,False,False
2021-09-09,415.5,933346,216,0,11,227,,26.63,36.88,30.66,439.01,406.79,False,False,False
2021-09-10,422.5,1061594,371,0,35,405,,32.42,35.39,34.83,437.57,407.08,False,False,False
2021-09-13,416.0,947566,-289,-1,-28,-318,,27.61,32.8,32.86,437.61,406.69,False,False,False
2021-09-14,412.5,822160,-211,-1,-15,-228,,19.77,28.46,31.81,437.82,406.03,False,False,False
2021-09-15,400.0,2526194,-510,-6,-160,-676,,13.18,23.36,28.34,435.3,404.25,True,False,False
2021-09-16,404.5,2364279,137,-15,8,130,,18.53,21.75,31.25,436.04,402.11,True,False,False
2021-09-17,401.0,1974427,-157,0,1,-156,,18.51,20.67,30.22,437.1,399.6,True,False,False
2021-09-22,393.0,1667453,249,48,-17,280,,15.28,18.87,27.96,438.6,395.1,True,False,False
2021-09-23,395.5,1207290,-165,0,-6,-171,,15.58,17.78,29.73,439.05,391.95,True,False,False
2021-09-24,394.0,1187642,-578,0,-5,-583,,14.31,16.62,29.26,437.67,389.53,True,False,False
2021-09-27,392.0,992114,-361,0,-4,-365,,11.5,14.91,28.62,438.01,386.49,True,False,False
2021-09-28,385.5,1229987,-390,0,27,-363,,8.16,12.66,26.58,438.89,382.41,True,False,False
2021-09-29,370.5,3043271,-562,19,-41,-584,,6.59,10.64,22.58,441.04,375.16,True,False,False
2021-09-30,377.0,2206493,-45,3,-17,-59,,11.6,10.96,27.66,440.05,371.15,True,True,False
2021-10-01,378.5,2176090,-70,33,-9,-46,,16.29,12.73,28.82,435.94,369.46,True,False,False
2021-10-04,378.0,2085599,-363,33,21,-309,,20.54,15.34,28.66,433.8,367.0,True,False,False
2021-10-05,380.0,2044391,152,2,-22,132,,26.82,19.16,30.38,430.74,365.61,False,False,False
2021-10-06,370.0,1901103,-945,38,2,-905,,20.91,19.75,26.89,429.79,362.06,False,False,False
