date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-07-19,30.85,15915735,-202.0,0.0,0.0,-202.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-20,30.25,2927271,165.0,0.0,0.0,165.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-21,32.4,5700060,460.0,0.0,1.0,461.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-22,32.3,4676736,-496.0,0.0,-1.0,-497.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-23,29.45,6037489,220.0,0.0,0.0,220.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-26,29.55,2550728,266.0,0.0,0.0,266.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-27,28.3,1521168,-440.0,0.0,0.0,-440.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-28,27.65,987858,23.0,0.0,0.0,23.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-29,27.8,824689,-4.0,0.0,0.0,-4.0,,11.19,11.19,False,False,False,❌ 空頭或無訊號
2021-07-30,27.55,899695,-78.0,0.0,0.0,-78.0,,9.95,10.78,True,False,False,⭐ 弱勢反彈
2021-08-02,27.85,442085,0.0,0.0,0.0,0.0,,10.61,10.72,True,False,False,⭐ 弱勢反彈
2021-08-03,27.9,450132,-14.0,0.0,0.0,-14.0,,11.3,10.92,True,True,False,⭐⭐ 偏多觀察
2021-08-04,27.8,605466,-7.0,0.0,0.0,-7.0,,12.12,11.32,True,False,False,⭐ 弱勢反彈
2021-08-05,29.1,1750720,149.0,0.0,0.0,149.0,,30.49,17.71,True,False,False,⭐ 弱勢反彈
2021-08-06,28.25,1001485,-206.0,0.0,0.0,-206.0,,33.44,22.95,False,False,False,❌ 空頭或無訊號
2021-08-09,27.3,807648,-41.0,0.0,1.0,-40.0,,25.63,23.84,False,False,False,❌ 空頭或無訊號
2021-08-10,26.4,868955,-23.0,0.0,0.0,-23.0,,19.98,22.56,False,False,False,❌ 空頭或無訊號
2021-08-11,25.7,748974,-3.0,0.0,0.0,-3.0,,14.17,19.76,True,False,False,⭐ 弱勢反彈
2021-08-12,25.65,283510,-21.0,0.0,0.0,-21.0,,10.68,16.73,True,False,False,⭐ 弱勢反彈
2021-08-13,25.15,613161,-80.0,0.0,0.0,-80.0,,9.25,14.24,True,False,False,⭐ 弱勢反彈
2021-08-16,24.3,573362,66.0,0.0,0.0,66.0,,7.97,12.15,True,False,False,⭐ 弱勢反彈
2021-08-17,23.9,430127,-11.0,0.0,0.0,-11.0,,5.89,10.06,True,False,False,⭐ 弱勢反彈
2021-08-18,24.8,441692,79.0,0.0,0.0,79.0,,12.71,10.95,True,True,False,⭐⭐ 偏多觀察
2021-08-19,24.4,172124,-11.0,0.0,0.0,-11.0,,17.23,13.04,True,False,False,⭐ 弱勢反彈
2021-08-20,24.1,237528,-23.0,0.0,0.0,-23.0,,19.42,15.17,True,False,False,⭐ 弱勢反彈
2021-08-23,24.9,195342,75.0,0.0,0.0,75.0,,30.34,20.22,True,False,False,⭐ 弱勢反彈
2021-08-24,24.7,150519,-58.0,0.0,0.0,-58.0,,38.62,26.36,False,False,False,❌ 空頭或無訊號
2021-08-25,25.5,585003,299.0,0.0,0.0,299.0,,53.33,35.35,False,False,False,❌ 空頭或無訊號
2021-08-26,25.4,194034,-19.0,0.0,0.0,-19.0,,61.99,44.23,False,False,False,❌ 空頭或無訊號
2021-08-27,25.3,102041,8.0,0.0,0.0,8.0,,66.61,51.69,False,False,False,❌ 空頭或無訊號
2021-08-30,25.2,125757,5.0,0.0,0.0,5.0,,68.55,57.31,False,False,False,❌ 空頭或無訊號
2021-08-31,25.25,127563,16.0,0.0,0.0,16.0,,67.67,60.76,False,False,False,❌ 空頭或無訊號
2021-09-01,25.5,225647,75.0,0.0,1.0,76.0,,70.87,64.13,False,False,False,❌ 空頭或無訊號
2021-09-02,24.9,249429,-52.0,0.0,0.0,-52.0,,61.28,63.18,False,False,False,❌ 空頭或無訊號
2021-09-03,24.95,192119,18.0,0.0,0.0,18.0,,52.31,59.56,False,False,False,❌ 空頭或無訊號
2021-09-06,24.0,349540,-121.0,0.0,0.0,-121.0,,34.88,51.33,False,False,False,❌ 空頭或無訊號
2021-09-07,23.75,208055,-15.0,0.0,1.0,-14.0,,26.8,43.15,False,False,False,❌ 空頭或無訊號
2021-09-08,23.55,179253,-37.0,0.0,-2.0,-39.0,,22.44,36.25,False,False,False,❌ 空頭或無訊號
2021-09-09,23.95,246204,42.0,0.0,0.0,42.0,,24.76,32.42,False,False,False,❌ 空頭或無訊號
2021-09-10,24.1,54103,-2.0,0.0,0.0,-2.0,,28.27,31.04,False,False,False,❌ 空頭或無訊號
2021-09-13,23.7,141284,-19.0,0.0,0.0,-19.0,,25.39,29.15,False,False,False,❌ 空頭或無訊號
2021-09-14,23.35,151761,-29.0,0.0,0.0,-29.0,,18.88,25.73,False,False,False,❌ 空頭或無訊號
2021-09-15,23.2,292121,-44.0,0.0,0.0,-44.0,,16.59,22.68,True,False,False,⭐ 弱勢反彈
2021-09-16,23.05,177289,-10.0,0.0,0.0,-10.0,,14.57,19.98,True,False,False,⭐ 弱勢反彈
2021-09-17,23.35,97698,8.0,0.0,0.0,8.0,,20.46,20.14,True,True,False,⭐⭐ 偏多觀察
2021-09-22,23.15,203111,38.0,0.0,0.0,38.0,,20.93,20.41,False,False,False,❌ 空頭或無訊號
2021-09-23,23.1,92003,2.0,0.0,0.0,2.0,,20.21,20.34,False,False,False,❌ 空頭或無訊號
2021-09-24,23.5,170457,43.0,0.0,0.0,43.0,,28.05,22.91,False,True,False,⭐ 弱勢反彈
2021-09-27,23.9,140004,62.0,0.0,0.0,62.0,,50.59,32.14,False,False,False,❌ 空頭或無訊號
2021-09-28,23.65,91160,-33.0,0.0,0.0,-33.0,,54.71,39.66,False,False,False,❌ 空頭或無訊號
2021-09-29,23.05,186701,-64.0,0.0,0.0,-64.0,,42.65,40.66,False,False,False,❌ 空頭或無訊號
2021-09-30,23.0,123084,13.0,0.0,0.0,13.0,,33.37,38.23,False,False,False,❌ 空頭或無訊號
2021-10-01,22.6,366011,-84.0,0.0,0.0,-84.0,,23.29,33.25,False,False,False,❌ 空頭或無訊號
2021-10-04,21.5,482883,-28.0,0.0,-1.0,-29.0,,17.86,28.12,False,False,False,❌ 空頭或無訊號
2021-10-05,22.2,204130,85.0,0.0,0.0,85.0,,22.44,26.23,True,False,False,⭐ 弱勢反彈
2021-10-06,22.15,83582,-3.0,0.0,0.0,-3.0,,24.9,25.78,False,False,False,❌ 空頭或無訊號
2021-10-07,22.85,125248,68.0,0.0,0.0,68.0,,34.73,28.76,False,True,False,⭐ 弱勢反彈
2021-10-08,22.95,135001,53.0,0.0,0.0,53.0,,42.45,33.33,False,False,False,❌ 空頭或無訊號
2021-10-12,22.3,101033,-35.0,0.0,-1.0,-36.0,,44.17,36.94,False,False,False,❌ 空頭或無訊號
2021-10-13,21.95,184489,-118.0,0.0,1.0,-117.0,,40.85,38.25,False,False,False,❌ 空頭或無訊號
2021-10-14,21.85,81195,-32.0,0.0,0.0,-32.0,,37.14,37.88,False,False,False,❌ 空頭或無訊號
2021-10-15,22.6,175823,98.0,0.0,0.0,98.0,,48.19,41.31,False,True,False,⭐ 弱勢反彈
