date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-10,922.0,2513902,-44,28,-126,-142,,,,,,,False,False,False
2021-08-11,910.0,4585315,-900,19,-52,-933,,,,,,,False,False,False
2021-08-12,904.0,4309333,-1341,66,-4,-1278,,,,,,,False,False,False
2021-08-13,910.0,5316640,583,144,-3,723,,,,,,,False,False,False
2021-08-16,901.0,3748871,107,-30,-50,26,,,,,,,False,False,False
2021-08-17,880.0,5619978,-2105,113,-57,-2049,,,,,,,False,False,False
2021-08-18,912.0,6112567,262,215,42,519,,,,,,,False,False,False
2021-08-19,888.0,5605024,-898,86,-148,-960,,,,,,,False,False,False
2021-08-20,873.0,5568161,-1635,48,-14,-1601,,12.31,12.31,,,,False,False,False
2021-08-23,911.0,5355550,1923,-51,-27,1845,,34.64,19.75,,,,True,False,False
2021-08-24,909.0,3669517,292,-18,-90,184,,48.38,29.3,,,,False,False,False
2021-08-25,911.0,4529009,766,-223,19,561,,60.13,39.57,,,,False,False,False
2021-08-26,888.0,9982776,-2237,-439,-47,-2723,,54.03,44.39,,,,False,False,False
2021-08-27,896.0,5541636,1452,-220,97,1329,,54.81,47.86,,,,False,False,False
2021-08-30,912.0,4321735,2179,-69,-15,2095,,65.02,53.58,36.08,,,False,False,False
2021-08-31,901.0,7759596,-475,-266,-116,-857,,64.02,57.06,34.05,,,False,False,False
2021-09-01,927.0,9426404,6137,-191,-110,5837,,74.34,62.82,42.32,,,False,False,False
2021-09-02,933.0,5835912,3080,-200,-174,2706,,77.56,67.74,44.06,,,False,False,False
2021-09-03,919.0,5982064,-1233,-68,80,-1222,,73.49,69.65,40.95,,,False,False,False
2021-09-06,896.0,8507094,302,-657,-133,-487,,60.55,66.62,36.4,935.62,874.68,False,False,False
2021-09-07,903.0,3756993,760,-96,-14,649,,55.03,62.75,38.64,933.63,874.77,False,False,False
2021-09-08,912.0,5405988,1575,14,-117,1472,,54.74,60.08,41.48,933.82,874.78,False,False,False
2021-09-09,901.0,6326324,-737,-41,-30,-807,,45.38,55.18,39.1,933.71,874.59,False,False,False
2021-09-10,925.0,4863848,2999,-54,2,2947,,52.48,54.28,46.35,935.82,873.98,False,False,False
2021-09-13,927.0,3014460,1095,-34,-55,1007,,56.32,54.96,46.91,938.58,873.82,False,True,False
2021-09-14,947.0,8536498,3972,-8,-47,3917,,69.64,59.86,52.34,944.29,874.81,False,False,False
2021-09-15,935.0,5483694,91,81,47,220,,71.12,63.61,49.1,947.26,874.14,False,False,False
2021-09-16,936.0,4041855,137,-9,-32,96,,72.72,66.65,49.38,949.69,876.51,False,False,False
2021-09-17,940.0,7362257,1868,68,75,2011,,74.8,69.36,50.56,949.69,883.21,False,False,False
2021-09-22,911.0,8480705,-1235,30,-223,-1428,,59.22,65.98,42.79,949.69,883.21,False,False,False
2021-09-23,915.0,5320705,407,-11,3,399,,49.98,60.65,44.06,949.82,883.68,False,False,False
2021-09-24,920.0,4848703,1151,12,-9,1154,,46.14,55.81,45.69,950.18,884.22,False,False,False
2021-09-27,959.0,11010430,6460,2,124,6586,,64.09,58.57,56.38,955.72,885.78,False,True,False
2021-09-28,957.0,7353868,2319,6,-48,2277,,70.26,62.47,55.78,960.29,887.31,False,False,False
2021-09-29,913.0,8807094,-2530,93,-281,-2719,,53.12,59.35,44.45,960.28,887.42,False,False,False
2021-09-30,905.0,8747603,-2416,181,93,-2142,,39.52,52.74,42.75,959.99,888.11,False,False,False
2021-10-01,885.0,6601268,-3034,118,14,-2903,,27.5,44.33,38.76,961.85,882.05,False,False,False
2021-10-04,892.0,4625996,-501,163,139,-198,,23.46,37.37,40.84,961.59,878.21,False,False,False
2021-10-05,867.0,9075762,-3916,199,198,-3519,,19.15,31.3,36.12,965.24,869.36,False,False,False
