date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-08-05,35.8,143330724,1369,-36,999,2332,,,,False,False,False,❌ 空頭或無訊號
2021-08-06,34.1,141733333,-35734,0,-5980,-41714,,,,False,False,False,❌ 空頭或無訊號
2021-08-09,33.95,63319925,-1002,-4,-409,-1415,,,,False,False,False,❌ 空頭或無訊號
2021-08-10,33.65,52885322,-500,0,-1130,-1630,,,,False,False,False,❌ 空頭或無訊號
2021-08-11,31.85,146626882,-30361,-12732,-4686,-47779,,,,False,False,False,❌ 空頭或無訊號
2021-08-12,30.65,125780237,-22037,-7349,-1754,-31140,,,,False,False,False,❌ 空頭或無訊號
2021-08-13,28.5,157646482,-6487,-2232,-3039,-11758,,,,False,False,False,❌ 空頭或無訊號
2021-08-16,29.1,90267418,2927,-1842,-691,395,,,,False,False,False,❌ 空頭或無訊號
2021-08-17,28.75,59304564,2283,87,-1274,1097,,5.33,5.33,False,False,False,❌ 空頭或無訊號
2021-08-18,30.1,66771965,5876,-1119,1035,5792,,12.01,7.56,True,False,False,⭐ 弱勢反彈
2021-08-19,28.9,48546654,-3407,142,-1364,-4630,,10.92,8.68,True,False,False,⭐ 弱勢反彈
2021-08-20,28.4,38353872,-3019,16,-592,-3595,,7.55,8.3,True,False,False,⭐ 弱勢反彈
2021-08-23,29.5,35628180,8987,32,553,9572,,12.86,9.82,True,True,False,⭐⭐ 偏多觀察
2021-08-24,28.9,42608751,-10404,3,-596,-10997,,14.79,11.47,True,False,False,⭐ 弱勢反彈
2021-08-25,29.7,38859164,14221,-79,943,15085,,34.86,19.27,True,False,False,⭐ 弱勢反彈
2021-08-26,29.2,39710433,-7150,18,-1351,-8483,,38.98,25.84,False,False,False,❌ 空頭或無訊號
2021-08-27,29.15,30182118,-1643,0,511,-1132,,40.8,30.83,False,False,False,❌ 空頭或無訊號
2021-08-30,29.65,25183747,9664,-55,-29,9580,,51.27,37.64,False,False,False,❌ 空頭或無訊號
2021-08-31,29.5,32256586,-116,-22,-65,-203,,55.48,43.59,False,False,False,❌ 空頭或無訊號
2021-09-01,30.55,64293116,7810,-137,1758,9431,,68.19,51.79,False,False,False,❌ 空頭或無訊號
2021-09-02,29.95,51956810,-15214,-165,-1881,-17261,,64.76,56.11,False,False,False,❌ 空頭或無訊號
2021-09-03,30.85,80390956,5692,1708,899,8300,,74.92,62.38,False,False,False,❌ 空頭或無訊號
2021-09-06,30.3,66439988,-640,-69,32,-678,,67.23,64.0,False,False,False,❌ 空頭或無訊號
2021-09-07,30.15,28445417,4140,-153,-262,3725,,60.25,62.75,False,False,False,❌ 空頭或無訊號
2021-09-08,28.85,51909768,-9600,6,-1774,-11368,,41.89,55.8,False,False,False,❌ 空頭或無訊號
2021-09-09,29.4,32380207,8252,0,188,8440,,38.7,50.1,False,False,False,❌ 空頭或無訊號
2021-09-10,30.1,34629330,14263,-36,521,14748,,43.75,47.98,False,False,False,❌ 空頭或無訊號
2021-09-13,29.7,19104731,-1123,-21,-958,-2102,,43.01,46.32,False,False,False,❌ 空頭或無訊號
2021-09-14,29.4,22512015,2128,0,-542,1586,,39.44,44.03,False,False,False,❌ 空頭或無訊號
2021-09-15,28.9,20028250,-4468,-10,-1364,-5842,,31.94,40.0,False,False,False,❌ 空頭或無訊號
2021-09-16,28.7,15469912,-4395,-14,-459,-4868,,24.88,34.96,False,False,False,❌ 空頭或無訊號
2021-09-17,27.7,73655967,-21314,-162,-703,-22180,,17.74,29.22,False,False,False,❌ 空頭或無訊號
2021-09-22,27.35,52850250,6893,35,-505,6423,,21.17,26.54,True,False,False,⭐ 弱勢反彈
2021-09-23,26.95,35492149,-8050,0,-692,-8742,,20.21,24.43,False,False,False,❌ 空頭或無訊號
2021-09-24,27.35,21952619,6727,-100,121,6748,,22.83,23.89,False,False,False,❌ 空頭或無訊號
2021-09-27,27.65,23942673,-4694,0,-613,-5308,,27.01,24.93,False,True,False,⭐ 弱勢反彈
2021-09-28,27.15,17695885,-2599,0,-309,-2908,,25.73,25.2,False,False,False,❌ 空頭或無訊號
2021-09-29,26.25,42036454,-3861,-124,-1078,-5062,,18.67,23.02,False,False,False,❌ 空頭或無訊號
2021-09-30,26.5,30762010,3789,150,-169,3770,,16.82,20.95,True,False,False,⭐ 弱勢反彈
2021-10-01,25.6,37631706,-4589,115,-568,-5042,,12.77,18.23,True,False,False,⭐ 弱勢反彈
2021-10-04,25.05,30771570,5581,229,-469,5340,,9.09,15.18,True,False,False,⭐ 弱勢反彈
2021-10-05,25.7,29923789,4359,751,865,5975,,18.14,16.17,True,True,False,⭐⭐ 偏多觀察
