date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2022-05-20,226.5,4390844,589,146,28,763,,42.78,32.32,41.29,255.5,212.65,False,False,False
2022-05-23,225.0,2846212,-477,74,42,-361,,45.19,36.61,40.24,254.04,212.01,False,False,False
2022-05-24,220.0,2556439,-568,0,-5,-573,,36.38,36.53,36.85,253.93,210.47,False,False,False
2022-05-25,222.5,4524643,2163,-1860,123,426,,35.71,36.26,39.59,250.73,210.72,False,False,False
2022-05-26,224.0,2682678,532,63,-58,536,,34.06,35.53,41.23,248.71,210.64,False,False,False
2022-05-27,231.5,5473693,734,326,228,1287,,51.1,40.72,48.75,246.27,211.58,False,True,False
2022-05-30,238.5,5288426,415,239,164,818,,66.52,49.32,54.59,243.36,213.34,False,False,False
2022-05-31,241.5,7771519,1210,18,-34,1195,,77.68,58.77,56.86,243.12,213.48,False,False,False
2022-06-01,241.5,2461392,614,29,-94,550,,83.64,67.06,56.86,243.24,213.41,False,False,False
2022-06-02,236.5,2764307,-123,0,-37,-160,,80.2,71.44,51.85,242.33,213.87,False,False,False
2022-06-06,239.0,3501505,232,-250,66,48,,81.62,74.84,54.03,243.18,213.52,False,False,False
2022-06-07,233.0,5514275,-1820,-22,58,-1784,,73.67,74.45,48.37,243.46,213.54,False,False,False
2022-06-08,234.5,2569910,-182,8,125,-49,,69.11,72.67,49.79,244.06,213.74,False,False,False
2022-06-09,235.0,3516530,467,-152,35,350,,65.12,70.15,50.28,244.64,214.31,False,False,False
2022-06-10,237.0,3202529,599,-98,93,594,,61.47,67.26,52.28,244.99,215.81,False,False,False
2022-06-13,228.0,4705066,-2070,21,-82,-2130,,44.11,59.54,43.74,244.72,216.78,False,False,False
2022-06-14,228.5,4558653,-420,56,-12,-376,,38.81,52.63,44.28,244.56,217.49,False,False,False
2022-06-15,225.0,4681984,-1189,10,21,-1158,,29.79,45.02,41.27,244.56,217.49,False,False,False
2022-06-16,227.5,6206389,119,158,-15,262,,28.95,39.66,44.19,244.48,217.22,False,False,False
2022-06-17,227.0,7288646,-699,319,-20,-400,,32.63,37.32,43.72,244.22,217.98,False,False,False
2022-06-20,220.0,4525643,-1494,135,0,-1359,,23.42,32.69,37.7,244.67,216.88,False,False,False
2022-06-21,232.5,4738342,1466,429,371,2266,,38.12,34.5,50.75,244.79,217.51,False,True,False
2022-06-22,226.5,3824024,-832,254,437,-141,,37.91,35.63,45.79,244.28,218.67,False,False,False
2022-06-23,234.0,7554481,368,1154,644,2167,,54.69,41.98,52.09,244.18,219.92,False,False,False
2022-06-24,239.0,7647712,712,402,824,1938,,66.76,50.24,55.78,244.68,220.92,False,False,False
2022-06-27,236.5,6113362,-544,401,119,-24,,71.02,57.17,53.56,245.03,221.07,False,False,False
2022-06-28,236.0,5713340,-437,673,-20,215,,73.11,62.48,53.1,244.71,221.14,False,False,False
2022-06-29,227.5,6744311,-1459,404,-56,-1111,,61.62,62.19,45.95,243.52,220.93,False,False,False
2022-06-30,221.5,6259215,31,127,200,358,,43.46,55.95,41.68,242.61,219.84,False,False,False
2022-07-01,221.5,8490123,-784,333,80,-370,,32.76,48.22,41.68,242.36,218.59,False,False,False
2022-07-04,219.0,7115072,-2334,1602,334,-399,,28.01,41.48,39.89,241.7,217.25,False,False,False
2022-07-05,220.5,6868597,33,1637,322,1992,,26.7,36.56,41.51,241.58,216.12,False,False,False
2022-07-06,210.5,7356320,-944,265,-59,-738,,17.8,30.3,34.77,242.49,212.81,False,False,False
2022-07-07,221.0,7628167,1360,1652,265,3277,,23.53,28.05,44.89,241.65,212.25,True,False,False
2022-07-08,227.5,7396934,-284,1635,155,1507,,35.57,30.56,50.06,240.4,212.55,False,True,False
2022-07-11,229.5,3607082,-1366,1117,-29,-278,,56.19,39.1,51.56,240.53,212.57,False,False,False
2022-07-12,231.0,5352617,-684,1297,-330,283,,67.83,48.68,52.71,240.77,212.58,False,False,False
2022-07-13,239.5,11478333,-1800,1785,400,386,,74.97,57.44,58.7,242.58,212.22,False,False,False
2022-07-14,239.5,9231421,-1557,420,250,-888,,78.83,64.57,58.7,244.12,211.88,False,False,False
2022-07-15,245.0,8337631,685,256,130,1071,,84.06,71.07,62.28,246.7,211.1,False,False,False
2022-07-18,245.0,6454944,-1494,524,15,-955,,86.3,76.15,62.28,248.81,211.49,False,False,False
2022-07-19,246.0,4058648,607,95,-30,671,,88.52,80.27,62.96,250.78,210.87,False,False,False
2022-07-20,249.0,5998691,599,111,10,720,,90.2,83.58,64.99,253.36,210.54,False,False,True
2022-07-21,250.0,5954625,-232,-286,1174,656,,90.8,85.99,65.67,255.63,209.87,False,False,False
2022-07-22,248.0,6404851,101,-291,1367,1177,,87.94,86.64,63.05,256.93,209.47,False,False,True
2022-07-25,250.5,5645128,909,-65,802,1646,,88.63,87.3,64.93,258.84,208.96,False,False,True
2022-07-26,249.0,3565803,1463,23,-234,1252,,85.01,86.54,62.86,260.38,208.72,False,False,False
2022-07-27,254.0,5613526,806,84,555,1445,,90.01,87.69,66.68,262.88,208.87,False,True,True
2022-07-28,262.0,11733773,1929,1705,-25,3609,,88.46,87.95,71.69,266.39,209.41,False,False,True
2022-07-29,258.0,8407316,-1295,193,-58,-1160,,80.92,85.61,66.32,268.47,210.98,False,False,True
2022-08-01,258.5,5504307,-1023,330,154,-539,,76.71,82.64,66.66,269.87,213.53,False,False,True
2022-08-02,258.5,10858156,-181,203,-208,-186,,73.91,79.73,66.66,270.86,216.34,False,False,True
2022-08-03,264.0,8447302,1784,306,-51,2040,,80.98,80.15,70.42,270.15,222.4,False,True,True
2022-08-04,261.0,11719192,-379,429,-88,-39,,80.18,80.16,66.04,269.83,226.72,False,False,True
