date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-18,69.0,14886220,3235.0,350.0,-388.0,3197.0,,,,,,,False,False,False
2021-08-19,65.7,17524417,-5344.0,396.0,-209.0,-5157.0,,,,,,,False,False,False
2021-08-20,64.6,13569607,-172.0,186.0,-119.0,-104.0,,,,,,,False,False,False
2021-08-23,66.8,7679022,1904.0,26.0,168.0,2098.0,,,,,,,False,False,False
2021-08-24,66.0,9348558,2.0,-921.0,-194.0,-1113.0,,,,,,,False,False,False
2021-08-25,67.0,5940902,545.0,8.0,16.0,568.0,,,,,,,False,False,False
2021-08-26,65.3,13518562,-4378.0,165.0,-224.0,-4437.0,,,,,,,False,False,False
2021-08-27,65.0,12756411,-797.0,0.0,474.0,-323.0,,,,,,,False,False,False
2021-08-30,66.4,7295419,3130.0,-42.0,145.0,3233.0,,44.68,44.68,,,,False,False,False
2021-08-31,66.4,8026995,-23.0,0.0,-2.0,-25.0,,48.21,45.86,,,,False,False,False
2021-09-01,68.1,15943494,5027.0,-119.0,242.0,5151.0,,62.3,51.34,,,,False,False,False
2021-09-02,66.2,10469861,-3050.0,-575.0,-317.0,-3942.0,,56.61,53.1,,,,False,False,False
2021-09-03,66.0,9974783,-1486.0,-753.0,33.0,-2206.0,,51.23,52.47,,,,False,False,False
2021-09-06,66.4,13380267,1574.0,-88.0,99.0,1585.0,,50.82,51.92,,,,False,False,False
2021-09-07,65.2,10825756,-3198.0,-74.0,63.0,-3210.0,,41.02,48.29,15.17,,,False,False,False
2021-09-08,64.3,12858185,-1279.0,97.0,-433.0,-1616.0,,30.9,42.49,14.64,,,False,False,False
2021-09-09,65.6,7371987,2643.0,-1.0,44.0,2686.0,,33.79,39.59,19.08,,,False,False,False
2021-09-10,66.8,9874993,3988.0,1162.0,289.0,5439.0,,44.06,41.08,23.06,,,False,True,False
2021-09-13,65.8,7306027,-1331.0,-17.0,-169.0,-1517.0,,43.95,42.04,22.08,,,False,False,False
2021-09-14,66.2,8389829,2928.0,40.0,21.0,2989.0,,48.24,44.11,23.48,68.35,63.93,False,False,False
2021-09-15,64.0,17189060,-7863.0,151.0,-368.0,-8080.0,,34.6,40.94,21.23,67.85,63.93,False,False,False
2021-09-16,64.6,6504393,820.0,25.0,-86.0,759.0,,30.38,37.42,23.38,67.88,63.79,False,False,False
2021-09-17,64.9,9003620,1260.0,-1202.0,7.0,65.0,,31.37,35.4,24.5,67.86,63.84,False,False,False
2021-09-22,63.0,11723471,-2183.0,353.0,-301.0,-2132.0,,24.38,31.73,22.29,67.99,63.33,False,False,False
2021-09-23,64.4,9860102,6451.0,4.0,-71.0,6385.0,,29.45,30.97,27.48,67.97,63.19,False,False,False
2021-09-24,64.9,4857319,1258.0,0.0,-64.0,1194.0,,36.3,32.75,29.29,67.78,63.17,False,True,False
2021-09-27,64.6,4324198,1055.0,1.0,-10.0,1046.0,,38.78,34.76,28.82,67.78,63.1,False,False,False
2021-09-28,66.3,18832706,8953.0,1289.0,62.0,10304.0,,54.64,41.39,35.12,67.86,63.15,False,False,False
2021-09-29,67.2,28462889,4922.0,1380.0,-791.0,5511.0,,69.76,50.85,38.24,67.99,63.1,False,False,False
2021-09-30,65.9,30827196,-431.0,1316.0,-334.0,551.0,,66.05,55.91,35.58,67.94,63.1,False,False,False
2021-10-01,64.3,13293071,-4339.0,301.0,-207.0,-4245.0,,54.38,55.4,32.58,67.48,63.18,False,False,False
2021-10-04,64.9,12035151,2051.0,399.0,71.0,2521.0,,50.04,53.62,34.8,67.38,63.15,False,False,False
2021-10-05,64.6,14684262,-2747.0,225.0,-99.0,-2620.0,,42.51,49.91,34.19,67.3,63.09,False,False,False
2021-10-06,61.4,24214032,-11386.0,285.0,-146.0,-11247.0,,28.34,42.72,28.49,67.57,62.32,False,False,False
2021-10-07,61.6,13115107,-3380.0,35.0,281.0,-3064.0,,19.86,35.1,29.28,67.78,61.75,False,False,False
2021-10-08,61.6,9746715,-14.0,6.0,-40.0,-48.0,,14.21,28.14,29.28,67.96,61.3,True,False,False
