date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-16,37.95,37263140,1267,-282,-15,970,,,,,,,False,False,False
2021-08-17,37.65,25101544,-4445,43,-180,-4583,,,,,,,False,False,False
2021-08-18,39.7,48517885,-1295,432,639,-224,,,,,,,False,False,False
2021-08-19,38.2,27380886,-4869,73,-665,-5461,,,,,,,False,False,False
2021-08-20,37.75,18701840,-1343,62,-536,-1817,,,,,,,False,False,False
2021-08-23,38.8,15354202,3118,15,298,3430,,,,,,,False,False,False
2021-08-24,38.6,19066341,3255,-111,-279,2866,,,,,,,False,False,False
2021-08-25,39.3,16994551,4355,1,383,4739,,,,,,,False,False,False
2021-08-26,39.25,14755959,389,10,-291,108,,80.39,80.39,,,,False,False,False
2021-08-27,39.15,15659913,2219,-2500,35,-246,,79.08,79.96,,,,False,False,False
2021-08-30,39.65,16297993,4415,-4626,212,1,,84.75,81.55,,,,False,True,False
2021-08-31,40.3,22961685,8848,-712,440,8577,,89.83,84.31,,,,False,False,False
2021-09-01,41.6,30674502,3760,-115,1090,4736,,92.42,87.02,,,,False,False,False
2021-09-02,40.9,24101317,3110,-88,-1187,1835,,87.54,87.19,,,,False,False,False
2021-09-03,41.5,21496371,6737,-31,604,7310,,88.18,87.52,56.89,,,False,False,False
2021-09-06,41.15,17825962,2372,-50,46,2368,,84.77,86.6,54.25,,,False,False,False
2021-09-07,41.5,26908551,10247,183,617,11046,,85.47,86.23,56.43,,,False,False,False
2021-09-08,38.9,43909003,-12947,3,-1767,-14711,,57.53,76.66,40.88,,,False,False,False
2021-09-09,38.9,14862413,-2308,-1040,-47,-3395,,39.43,64.25,40.88,,,False,False,False
2021-09-10,40.05,18484139,8562,-118,228,8672,,39.73,56.08,48.2,42.09,36.99,False,False,False
2021-09-13,39.5,10325362,-2482,-11,-775,-3268,,34.01,48.72,45.31,42.06,37.18,False,False,False
2021-09-14,39.05,9006603,-1723,0,-553,-2275,,25.36,40.93,43.04,41.96,37.41,False,False,False
2021-09-15,38.0,20882236,-12398,-7,-1240,-13645,,16.91,32.93,38.22,42.0,37.21,False,False,False
2021-09-16,38.2,8208958,-1076,4,-307,-1379,,13.03,26.29,39.6,42.0,37.21,True,False,False
2021-09-17,37.15,40103600,-17697,-255,-511,-18463,,9.74,20.77,35.14,42.08,37.07,True,False,False
2021-09-22,36.4,28127920,-7208,-282,-282,-7772,,14.32,18.62,32.34,42.32,36.59,True,False,False
2021-09-23,36.25,18789196,-1745,-12,-71,-1828,,17.16,18.14,31.79,42.52,36.15,True,False,False
2021-09-24,36.85,10562065,239,-143,-47,49,,22.87,19.71,36.42,42.59,35.84,True,True,False
2021-09-27,37.5,11991687,-1367,0,139,-1228,,30.8,23.41,41.08,42.59,35.66,False,False,False
2021-09-28,37.4,8123028,-716,1252,-254,282,,37.38,28.07,40.59,42.58,35.49,False,False,False
2021-09-29,36.85,14652525,-933,5,-38,-966,,39.55,31.9,37.89,42.56,35.23,False,False,False
2021-09-30,36.85,10136384,-1106,81,-13,-1038,,44.02,35.94,37.89,42.44,35.01,False,False,False
2021-10-01,36.3,14737226,1823,57,-241,1639,,43.71,38.53,35.19,42.06,34.86,False,False,False
2021-10-04,35.45,12531912,-3235,55,-94,-3274,,34.08,37.05,31.45,41.84,34.54,False,False,False
2021-10-05,35.55,11626657,-776,113,131,-532,,34.16,36.08,32.36,41.37,34.41,False,False,False
2021-10-06,34.15,21135716,-7482,172,-496,-7806,,24.11,32.09,26.96,41.05,34.03,False,False,False
2021-10-07,35.2,13377864,3258,19,85,3362,,26.74,30.31,35.63,40.34,34.11,False,False,False
2021-10-08,35.6,35774611,-10448,1555,17,-8876,,32.05,30.89,38.62,40.15,33.97,False,True,False
2021-10-12,35.55,13349040,-2014,1433,20,-561,,35.14,32.31,38.38,39.93,33.86,False,False,False
2021-10-13,34.65,15978683,-7808,1343,-328,-6793,,29.9,31.5,34.26,39.43,33.82,False,False,False
2021-10-14,35.5,13558068,-2187,81,354,-1752,,34.86,32.62,40.74,38.92,33.93,False,True,False
2021-10-15,36.1,14478167,-26,1519,114,1607,,47.8,37.68,44.87,38.44,34.11,False,False,False
2021-10-18,36.15,9920726,-1812,2,-81,-1892,,57.01,44.12,45.21,38.19,34.17,False,False,False
2021-10-19,35.4,35921612,-11237,1681,-126,-9682,,54.38,47.54,41.09,37.84,34.24,False,False,False
2021-10-20,35.65,26197644,-3714,6299,-1,2584,,54.49,49.86,42.96,37.7,34.24,False,False,False
2021-10-21,36.0,23492679,1178,441,-46,1572,,58.97,52.9,45.56,37.66,34.23,False,False,False
2021-10-22,37.15,27762616,9203,-566,852,9489,,71.55,59.12,53.13,37.79,34.2,False,False,False
2021-10-25,37.3,18258586,-3321,-5,-132,-3458,,81.04,66.42,54.03,37.87,34.16,False,False,False
2021-10-26,38.45,51979452,6331,22,2257,8610,,85.86,72.9,60.31,38.11,34.01,False,False,False
2021-10-27,38.1,61398566,-15897,2038,114,-13745,,85.81,77.2,57.72,38.26,33.93,False,False,False
2021-10-28,39.2,50107222,18480,1863,-959,19385,,88.65,81.02,63.08,38.77,33.66,False,False,False
2021-10-29,39.2,30195388,1723,-73,293,1943,,88.34,83.46,63.08,39.21,33.46,False,False,False
2021-11-01,40.25,33559433,18414,-8,890,19296,,91.06,85.99,67.62,39.9,33.16,False,False,False
2021-11-02,39.45,31913956,2577,-30,-1535,1011,,84.56,85.52,61.42,40.3,33.16,False,False,False
2021-11-03,39.85,21737623,8115,11,1363,9489,,82.26,84.43,63.24,40.72,33.17,False,False,False
2021-11-04,39.4,19361604,503,0,-1051,-549,,77.19,82.02,59.83,40.9,33.52,False,False,False
2021-11-05,39.7,14502454,5416,-24,-46,5346,,73.83,79.29,61.32,41.16,33.71,False,False,False
2021-11-08,40.35,19900482,4863,1974,701,7538,,76.91,78.5,64.42,41.51,33.83,False,False,False
2021-11-09,41.1,33496747,6485,-599,536,6422,,78.89,78.63,67.64,41.94,33.96,False,True,False
2021-11-10,42.1,40104909,10334,1293,2141,13768,,85.93,81.06,71.35,42.4,34.24,False,False,False
2021-11-11,42.45,43076616,-6,452,337,783,,87.92,83.35,72.54,42.92,34.42,False,False,True
2021-11-12,42.9,40334148,14519,640,-125,15034,,88.11,84.94,74.04,43.48,34.54,False,False,True
2021-11-15,42.85,30104970,3353,-1,63,3414,,85.27,85.05,73.56,43.91,34.77,False,False,True
2021-11-16,43.15,20859260,10483,1165,273,11921,,85.42,85.17,74.62,44.21,35.25,False,False,True
2021-11-17,43.15,40724425,-3050,63,186,-2801,,83.21,84.51,74.62,44.4,35.81,False,False,True
2021-11-18,42.8,33132752,6742,-315,-709,5718,,78.55,82.53,70.78,44.43,36.46,False,False,True
2021-11-19,42.35,19543959,1528,-3,-163,1362,,68.33,77.79,66.07,44.46,36.95,False,False,True
2021-11-22,43.65,49813545,12196,475,2010,14681,,73.72,76.44,71.89,44.64,37.41,False,False,True
2021-11-23,43.8,34359439,5308,83,45,5436,,75.66,76.18,72.47,44.89,37.69,False,False,True
2021-11-24,43.1,22797621,-6575,7,-532,-7100,,66.35,72.9,65.6,44.9,38.18,False,False,True
2021-11-25,42.7,16725869,2106,203,-46,2264,,54.08,66.63,61.98,44.92,38.51,False,False,True
2021-11-26,41.8,23460991,3916,-312,-973,2632,,39.69,57.65,54.67,44.82,38.87,False,False,True
2021-11-29,42.1,21112574,6120,-2631,384,3873,,39.32,51.54,56.51,44.82,39.05,False,False,True
2021-11-30,42.4,24956713,4652,-4954,391,89,,41.93,48.33,58.34,44.72,39.45,False,False,True
2021-12-01,43.0,16084863,7079,-2625,202,4656,,49.38,48.68,61.78,44.69,39.8,False,True,True
