date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-10,108.5,43432544,-23354.0,20.0,-1331.0,-24665.0,,,,,,,False,False,False
2021-08-11,109.0,49868351,-336.0,104.0,-248.0,-480.0,,,,,,,False,False,False
2021-08-12,109.0,18592236,-328.0,44.0,-154.0,-438.0,,,,,,,False,False,False
2021-08-13,109.0,46681998,-8357.0,734.0,-190.0,-7813.0,,,,,,,False,False,False
2021-08-16,107.5,35027999,-9734.0,-400.0,-1791.0,-11925.0,,,,,,,False,False,False
2021-08-17,106.5,26076961,-6380.0,589.0,-1045.0,-6836.0,,,,,,,False,False,False
2021-08-18,107.0,36974897,-4237.0,1041.0,-574.0,-3770.0,,,,,,,False,False,False
2021-08-19,103.0,52199317,-18316.0,483.0,-1779.0,-19612.0,,,,,,,False,False,False
2021-08-20,104.5,30552525,-983.0,377.0,274.0,-332.0,,25.0,25.0,,,,False,False,False
2021-08-23,107.5,24065630,8384.0,103.0,-96.0,8391.0,,39.58,29.86,,,,False,False,False
2021-08-24,109.0,18000797,7728.0,51.0,121.0,7900.0,,55.56,38.43,,,,False,False,False
2021-08-25,108.5,14477188,-1951.0,34.0,56.0,-1861.0,,64.12,46.99,,,,False,False,False
2021-08-26,107.5,13135805,-1527.0,64.0,-217.0,-1680.0,,68.94,54.31,,,,False,False,False
2021-08-27,108.0,13875837,904.0,2.0,839.0,1745.0,,74.53,61.05,,,,False,False,False
2021-08-30,109.0,14000606,2897.0,40.0,-285.0,2652.0,,83.02,68.37,63.73,,,False,False,False
2021-08-31,111.0,30641222,6442.0,-21.0,419.0,6840.0,,88.68,75.14,68.74,,,False,False,False
2021-09-01,111.0,22374844,925.0,-87.0,216.0,1054.0,,89.12,79.8,68.74,,,False,False,False
2021-09-02,111.5,29727679,-589.0,-303.0,638.0,-254.0,,86.08,81.89,69.95,,,False,False,False
2021-09-03,112.5,24501274,920.0,-41.0,802.0,1680.0,,88.16,83.98,72.25,,,False,False,False
2021-09-06,111.0,18445528,-2428.0,-399.0,-42.0,-2869.0,,81.85,83.27,64.29,113.13,103.92,False,False,False
2021-09-07,108.5,23359117,-4829.0,-185.0,-563.0,-5578.0,,64.82,77.12,53.68,113.13,103.92,False,False,False
2021-09-08,107.5,28705746,-6343.0,96.0,-1482.0,-7729.0,,48.34,67.53,50.12,113.07,103.83,False,False,False
2021-09-09,107.0,20446876,-4212.0,-38.0,-175.0,-4425.0,,36.99,57.35,48.39,113.01,103.69,False,False,False
2021-09-10,108.0,13324559,-2535.0,0.0,189.0,-2346.0,,34.18,49.63,51.96,112.95,103.65,False,False,False
2021-09-13,106.5,15455264,-6897.0,-35.0,-174.0,-7106.0,,25.17,41.47,46.73,112.96,103.54,False,False,False
2021-09-14,107.5,19260856,-2314.0,304.0,25.0,-1985.0,,23.92,35.62,50.32,112.95,103.65,False,False,False
2021-09-15,108.5,64013002,-12883.0,3901.0,-1031.0,-10013.0,,27.85,33.03,53.68,112.98,103.77,False,False,False
2021-09-16,107.5,23004506,-10428.0,642.0,-457.0,-10243.0,,25.71,30.59,50.04,112.49,104.71,False,False,False
2021-09-17,108.5,46682899,-3312.0,378.0,31.0,-2903.0,,35.66,32.28,53.44,112.18,105.42,False,True,False
2021-09-22,107.0,38855713,-3436.0,701.0,-1619.0,-4354.0,,31.18,31.91,48.14,112.2,105.35,False,False,False
2021-09-23,106.5,18991583,-3408.0,-122.0,1.0,-3529.0,,24.49,29.44,46.49,112.22,105.08,False,False,False
2021-09-24,107.5,15366616,213.0,-27.0,-77.0,109.0,,27.44,28.77,50.18,112.21,104.99,False,False,False
2021-09-27,107.5,13936074,-1678.0,31.0,250.0,-1397.0,,29.4,28.98,50.18,112.21,104.99,False,True,False
2021-09-28,106.5,22319338,-10712.0,100.0,-110.0,-10722.0,,23.31,27.09,46.46,112.25,104.8,False,False,False
2021-09-29,105.0,32798414,-10656.0,-205.0,-2134.0,-12995.0,,18.32,24.17,41.5,112.35,104.3,False,False,False
2021-09-30,105.0,24317553,-5189.0,1219.0,181.0,-3789.0,,18.27,22.2,41.5,112.11,103.94,True,False,False
2021-10-01,103.0,36074566,-17663.0,1032.0,-666.0,-17297.0,,12.18,18.86,35.62,112.04,103.21,True,False,False
2021-10-04,103.0,25434032,-6016.0,616.0,328.0,-5073.0,,10.9,16.21,35.62,111.68,102.72,True,False,False
2021-10-05,101.5,43345161,-23804.0,1317.0,469.0,-22018.0,,9.49,13.97,31.71,111.09,102.21,True,False,False
2021-10-06,103.0,40294629,-1101.0,556.0,-954.0,-1500.0,,15.21,14.38,38.93,110.47,102.03,True,True,False
2021-10-07,107.0,38383881,14655.0,83.0,1329.0,16067.0,,36.81,21.86,53.15,110.28,102.07,True,False,False
2021-10-08,108.0,27568061,9740.0,200.0,-346.0,9594.0,,57.87,33.86,55.91,110.35,102.05,False,False,False
2021-10-12,105.0,38777410,-8358.0,677.0,-56.0,-7737.0,,57.63,41.79,46.96,110.26,101.94,False,False,False
2021-10-13,105.5,18802301,583.0,450.0,294.0,1327.0,,59.85,47.81,48.44,110.05,101.9,False,False,False
2021-10-14,106.5,17764699,2943.0,527.0,263.0,3733.0,,66.09,53.9,51.37,110.05,101.9,False,False,False
2021-10-15,109.5,49336872,9324.0,16.0,2111.0,11451.0,,75.54,61.11,58.9,110.39,101.76,False,False,False
2021-10-18,107.5,42330142,2703.0,-579.0,-631.0,1492.0,,72.03,64.75,53.01,110.25,101.8,False,False,False
2021-10-19,107.0,26479700,-5005.0,-672.0,367.0,-5309.0,,64.68,64.73,51.62,110.19,101.81,False,False,False
2021-10-20,107.5,29508905,-1578.0,40.0,-521.0,-2059.0,,59.79,63.08,52.95,110.04,101.86,False,False,False
2021-10-21,108.0,30590262,4390.0,-96.0,640.0,4934.0,,57.81,61.32,54.3,110.17,101.83,False,False,False
2021-10-22,107.5,14751899,2068.0,301.0,-18.0,2352.0,,53.92,58.86,52.67,110.27,101.83,False,False,False
2021-10-25,108.0,21266978,1365.0,76.0,149.0,1590.0,,53.9,57.2,54.15,110.33,101.82,False,False,False
2021-10-26,109.0,18109494,2595.0,127.0,184.0,2906.0,,54.45,56.29,57.05,110.56,101.74,False,False,False
2021-10-27,108.0,15933998,-5573.0,58.0,-86.0,-5601.0,,47.41,53.33,53.41,110.71,101.74,False,False,False
2021-10-28,108.5,14245290,3638.0,0.0,-89.0,3549.0,,46.42,51.03,54.96,110.96,101.84,False,False,False
2021-10-29,107.0,20791860,-5064.0,-1177.0,-248.0,-6489.0,,36.5,46.19,49.64,111.02,101.98,False,False,False
2021-11-01,106.5,18216191,-4333.0,-85.0,79.0,-4339.0,,24.34,38.9,47.97,110.88,102.47,False,False,False
2021-11-02,107.5,21351175,5382.0,-708.0,200.0,4874.0,,27.34,35.05,51.48,110.75,103.05,False,False,False
2021-11-03,107.5,12336039,428.0,-219.0,49.0,258.0,,29.33,33.14,51.48,110.09,104.31,False,False,False
2021-11-04,108.0,11377672,-72.0,-63.0,-65.0,-200.0,,36.22,34.17,53.31,109.58,105.32,False,True,False
2021-11-05,109.0,17741997,-1179.0,-367.0,312.0,-1234.0,,51.93,40.09,56.81,109.77,105.33,False,False,True
2021-11-08,107.5,20910258,-2662.0,-289.0,-277.0,-3228.0,,47.95,42.71,50.67,109.74,105.31,False,False,False
2021-11-09,108.0,23994381,-2184.0,-580.0,108.0,-2655.0,,51.97,45.8,52.51,109.55,105.8,False,False,False
2021-11-10,109.0,22997778,6774.0,-281.0,779.0,7272.0,,62.42,51.34,56.05,109.51,106.19,False,False,False
2021-11-11,107.5,18767739,-6494.0,-265.0,300.0,-6459.0,,52.73,51.8,50.03,109.44,106.36,False,False,False
2021-11-12,109.0,26736055,7415.0,-302.0,465.0,7578.0,,61.82,55.14,55.21,109.32,106.43,False,False,True
2021-11-15,108.0,25873466,2454.0,-841.0,-505.0,1108.0,,52.32,54.2,51.39,109.34,106.46,False,False,True
2021-11-16,108.0,16174955,-877.0,-523.0,207.0,-1193.0,,45.99,51.46,51.39,109.32,106.58,False,False,True
2021-11-17,107.0,34385746,-14939.0,-1643.0,-385.0,-16967.0,,35.42,46.12,47.57,109.35,106.5,False,False,False
2021-11-18,107.0,30585311,-10009.0,-448.0,536.0,-9921.0,,28.38,40.2,47.57,109.36,106.39,False,False,False
2021-11-19,106.5,20981372,-7413.0,-508.0,134.0,-7787.0,,18.92,33.11,45.6,109.42,106.23,False,False,False
2021-11-22,106.5,17929580,-5987.0,-157.0,122.0,-6022.0,,12.61,26.28,45.6,109.45,106.05,True,False,False
2021-11-23,106.0,22502493,-9950.0,-226.0,76.0,-10100.0,,8.41,20.32,43.51,109.37,105.83,True,False,False
