date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-08-09,595.0,17611955,891,-221,-269,401,,,,False,False,False,❌ 空頭或無訊號
2021-08-10,591.0,17620825,2295,351,-365,2281,,,,False,False,False,❌ 空頭或無訊號
2021-08-11,590.0,20311399,4665,575,-54,5185,,,,False,False,False,❌ 空頭或無訊號
2021-08-12,586.0,16031265,-3129,767,419,-1944,,,,False,False,False,❌ 空頭或無訊號
2021-08-13,581.0,25440973,-6666,731,240,-5695,,,,False,False,False,❌ 空頭或無訊號
2021-08-16,584.0,19949389,2587,262,-353,2496,,,,False,False,False,❌ 空頭或無訊號
2021-08-17,580.0,31845499,-4420,432,-145,-4133,,,,False,False,False,❌ 空頭或無訊號
2021-08-18,574.0,47063629,-25046,856,2679,-21512,,,,False,False,False,❌ 空頭或無訊號
2021-08-19,559.0,42133375,-21992,402,-1015,-22605,,0.0,0.0,False,False,False,❌ 空頭或無訊號
2021-08-20,552.0,47741449,-18829,504,83,-18242,,0.74,0.25,True,False,False,⭐ 弱勢反彈
2021-08-23,566.0,34775337,-3426,847,815,-1763,,13.31,4.6,True,False,False,⭐ 弱勢反彈
2021-08-24,572.0,27397309,3070,512,-360,3221,,27.8,12.33,True,False,False,⭐ 弱勢反彈
2021-08-25,585.0,28867651,6154,942,311,7406,,50.91,25.19,False,False,False,❌ 空頭或無訊號
2021-08-26,594.0,45027320,5778,1707,-14,7471,,61.5,37.3,False,False,False,❌ 空頭或無訊號
2021-08-27,599.0,29459532,10735,708,2734,14178,,71.77,48.79,False,False,False,❌ 空頭或無訊號
2021-08-30,605.0,40606821,19005,1611,775,21390,,81.18,59.59,False,False,False,❌ 空頭或無訊號
2021-08-31,614.0,58916407,24591,701,541,25833,,87.45,68.88,False,False,False,❌ 空頭或無訊號
2021-09-01,613.0,31242788,7479,-150,606,7935,,91.11,76.29,False,False,False,❌ 空頭或無訊號
2021-09-02,607.0,26715492,3548,-319,-72,3157,,89.31,80.63,False,False,False,❌ 空頭或無訊號
2021-09-03,620.0,53915006,28998,625,2686,32309,,92.87,84.71,False,False,False,❌ 空頭或無訊號
2021-09-06,631.0,59223061,17154,552,1589,19295,,91.6,87.01,False,False,False,❌ 空頭或無訊號
2021-09-07,623.0,27422775,-734,72,106,-556,,83.76,85.93,False,False,False,❌ 空頭或無訊號
2021-09-08,619.0,38713621,7199,473,-2373,5299,,75.1,82.32,False,False,False,❌ 空頭或無訊號
2021-09-09,619.0,19309522,-1366,32,725,-608,,67.57,77.4,False,False,False,❌ 空頭或無訊號
2021-09-10,622.0,16740439,2680,-38,413,3054,,65.05,73.28,False,False,False,❌ 空頭或無訊號
2021-09-13,615.0,15809768,-2899,-36,-222,-3157,,51.97,66.18,False,False,False,❌ 空頭或無訊號
2021-09-14,613.0,16024935,2916,41,-240,2717,,41.1,57.82,False,False,False,❌ 空頭或無訊號
2021-09-15,607.0,26041452,-341,778,-2646,-2210,,27.4,47.68,False,False,False,❌ 空頭或無訊號
2021-09-16,600.0,23315040,-4398,-514,-1095,-6007,,19.12,38.16,False,False,False,❌ 空頭或無訊號
2021-09-17,600.0,42383815,-4388,435,382,-3571,,13.7,30.0,True,False,False,⭐ 弱勢反彈
2021-09-22,586.0,42732169,-16230,781,-3169,-18618,,11.41,23.8,True,False,False,⭐ 弱勢反彈
2021-09-23,588.0,22736266,-2924,-7,-244,-3175,,11.77,19.79,True,False,False,⭐ 弱勢反彈
2021-09-24,598.0,17302848,3237,54,38,3329,,20.35,19.98,True,True,False,⭐⭐ 偏多觀察
2021-09-27,602.0,20034221,2001,-158,-614,1230,,30.68,23.55,False,False,False,❌ 空頭或無訊號
2021-09-28,594.0,17325896,-4408,179,-324,-4553,,30.93,26.01,False,False,False,❌ 空頭或無訊號
2021-09-29,580.0,51834124,-24115,844,-4718,-27989,,23.4,25.14,False,False,False,❌ 空頭或無訊號
2021-09-30,580.0,36318623,-6138,849,435,-4854,,20.36,23.55,False,False,False,❌ 空頭或無訊號
2021-10-01,574.0,39006124,-13363,699,-517,-13181,,16.14,21.08,False,False,False,❌ 空頭或無訊號
2021-10-04,572.0,22288138,-4932,943,641,-3349,,13.79,18.65,True,False,False,⭐ 弱勢反彈
2021-10-05,572.0,36063650,-17262,1085,1534,-14643,,18.72,18.67,True,True,False,⭐⭐ 偏多觀察
2021-10-06,571.0,33989379,-5508,671,-1061,-5898,,21.21,19.52,True,False,False,⭐ 弱勢反彈
2021-10-07,580.0,28480400,865,185,2015,3065,,30.01,23.01,False,False,False,❌ 空頭或無訊號
2021-10-08,575.0,22601904,-3526,126,88,-3312,,33.9,26.64,False,False,False,❌ 空頭或無訊號
2021-10-12,575.0,27126088,-5782,476,-506,-5813,,42.6,31.96,False,False,False,❌ 空頭或無訊號
2021-10-13,571.0,19267437,-5249,506,828,-3916,,43.07,35.66,False,False,False,❌ 空頭或無訊號
2021-10-14,573.0,14270641,-226,314,467,555,,47.55,39.62,False,False,False,❌ 空頭或無訊號
2021-10-15,600.0,55305252,33738,295,591,34624,,65.03,48.09,False,False,False,❌ 空頭或無訊號
2021-10-18,590.0,19753943,-697,-119,456,-360,,66.08,54.09,False,False,False,❌ 空頭或無訊號
2021-10-19,600.0,18709936,5599,967,926,7492,,74.06,60.75,False,False,False,❌ 空頭或無訊號
2021-10-20,598.0,17537878,2930,726,-620,3036,,77.7,66.4,False,False,False,❌ 空頭或無訊號
2021-10-21,596.0,16882324,2585,126,-459,2252,,78.47,70.42,False,False,False,❌ 空頭或無訊號
2021-10-22,600.0,14236279,4166,-44,39,4162,,82.31,74.39,False,False,False,❌ 空頭或無訊號
2021-10-25,593.0,17724968,-760,83,-60,-737,,77.42,75.4,False,False,False,❌ 空頭或無訊號
2021-10-26,599.0,27047187,7332,273,-333,7272,,79.57,76.79,False,False,False,❌ 空頭或無訊號
2021-10-27,599.0,16260278,2316,23,-387,1952,,77.12,76.9,False,False,False,❌ 空頭或無訊號
2021-10-28,595.0,16927154,-1830,-311,-55,-2196,,63.32,72.37,False,False,False,❌ 空頭或無訊號
2021-10-29,590.0,27684673,-3551,-547,-367,-4464,,44.44,63.06,False,False,False,❌ 空頭或無訊號
2021-11-01,590.0,17110357,-1894,26,419,-1450,,31.85,52.66,False,False,False,❌ 空頭或無訊號
2021-11-02,592.0,16544999,2515,-153,154,2515,,28.37,44.56,False,False,False,❌ 空頭或無訊號
2021-11-03,592.0,11404984,1723,106,-202,1627,,26.61,38.58,False,False,False,❌ 空頭或無訊號
2021-11-04,587.0,18888245,-4052,-4,155,-3901,,22.18,33.11,False,False,False,❌ 空頭或無訊號
2021-11-05,600.0,35086799,22541,-325,49,22266,,48.12,38.12,False,True,True,⭐⭐ 偏多觀察
2021-11-08,602.0,20886897,4214,-98,-7,4108,,65.41,47.22,False,False,True,⭐ 弱勢反彈
2021-11-09,611.0,42340785,19886,-157,847,20576,,70.69,55.04,False,False,True,⭐ 弱勢反彈
2021-11-10,612.0,18518512,2194,71,246,2511,,75.25,61.78,False,False,True,⭐ 弱勢反彈
2021-11-11,606.0,20257792,-1514,-387,149,-1752,,72.04,65.2,False,False,True,⭐ 弱勢反彈
2021-11-12,604.0,21373014,616,-348,299,567,,67.82,66.07,False,False,True,⭐ 弱勢反彈
2021-11-15,608.0,17140935,2001,-1156,-31,814,,69.17,67.11,False,False,True,⭐ 弱勢反彈
2021-11-16,610.0,21776308,2404,251,194,2849,,72.16,68.79,False,False,True,⭐ 弱勢反彈
2021-11-17,610.0,21829653,2241,-394,198,2044,,70.83,69.47,False,False,True,⭐ 弱勢反彈
2021-11-18,613.0,22933191,3948,-423,117,3642,,73.54,70.83,False,False,True,⭐ 弱勢反彈
2021-11-19,618.0,38847820,10050,-314,552,10288,,75.11,72.25,False,False,True,⭐ 弱勢反彈
2021-11-22,615.0,23296854,-893,-68,254,-707,,71.81,72.11,False,False,True,⭐ 弱勢反彈
2021-11-23,612.0,20022520,768,-112,-283,373,,65.27,69.83,False,False,True,⭐ 弱勢反彈
2021-11-24,603.0,22978524,-4270,-29,671,-3628,,45.1,61.58,False,False,True,⭐ 弱勢反彈
2021-11-25,603.0,14171433,-2039,-279,-286,-2605,,33.1,52.09,False,False,False,❌ 空頭或無訊號
2021-11-26,596.0,27882175,-9811,120,-1388,-11078,,26.37,43.51,False,False,False,❌ 空頭或無訊號
2021-11-29,593.0,24160615,-3027,521,34,-2471,,19.66,35.56,False,False,False,❌ 空頭或無訊號
2021-11-30,596.0,69160408,-6957,126,-587,-7418,,18.32,29.81,True,False,False,⭐ 弱勢反彈
2021-12-01,600.0,30119408,3960,212,1008,5180,,21.59,27.07,True,False,False,⭐ 弱勢反彈
2021-12-02,615.0,48720976,25421,175,-392,25204,,44.02,32.72,False,True,False,⭐ 弱勢反彈
2021-12-03,608.0,27571974,-943,-59,-217,-1219,,52.96,39.47,False,False,False,❌ 空頭或無訊號
2021-12-06,600.0,24474913,-9888,58,-29,-9858,,47.81,42.25,False,False,False,❌ 空頭或無訊號
2021-12-07,607.0,21105883,-1950,-5,-174,-2128,,54.09,46.19,False,False,False,❌ 空頭或無訊號
2021-12-08,602.0,22194708,-100,-29,339,210,,51.34,47.91,False,False,False,❌ 空頭或無訊號
2021-12-09,608.0,12467833,2056,-54,29,2031,,57.84,51.22,False,False,False,❌ 空頭或無訊號
2021-12-10,605.0,11371659,-612,-43,214,-440,,58.0,53.48,False,False,False,❌ 空頭或無訊號
2021-12-13,601.0,17994933,-3253,388,141,-2724,,49.78,52.25,False,False,False,❌ 空頭或無訊號
2021-12-14,599.0,22997961,-6793,2066,-93,-4820,,36.89,47.13,False,False,False,❌ 空頭或無訊號
2021-12-15,600.0,22419040,-5757,634,619,-4504,,32.0,42.09,False,False,False,❌ 空頭或無訊號
2021-12-16,605.0,22151282,4735,-31,365,5068,,38.0,40.72,False,False,True,⭐ 弱勢反彈
2021-12-17,607.0,30319495,4885,39,-329,4595,,45.7,42.38,False,True,True,⭐⭐ 偏多觀察
2021-12-20,598.0,22381761,-5339,67,-741,-6013,,34.17,39.65,False,False,False,❌ 空頭或無訊號
2021-12-21,597.0,17669559,-3431,70,761,-2600,,27.23,35.51,False,False,False,❌ 空頭或無訊號
2021-12-22,600.0,10127887,1395,-130,79,1344,,29.26,33.43,False,False,True,⭐ 弱勢反彈
2021-12-23,606.0,16910501,8478,-52,166,8593,,43.95,36.93,False,True,True,⭐⭐ 偏多觀察
2021-12-24,604.0,12008673,4710,-114,425,5021,,50.73,41.53,False,False,True,⭐ 弱勢反彈
2021-12-27,606.0,16771900,5882,-360,972,6495,,58.26,47.11,False,False,True,⭐ 弱勢反彈
2021-12-28,615.0,35156339,19355,481,513,20349,,72.18,55.47,False,False,True,⭐ 弱勢反彈
2021-12-29,616.0,25604320,4950,196,923,6069,,77.28,62.74,False,False,True,⭐ 弱勢反彈
2021-12-30,615.0,20522055,-47,-105,359,207,,78.19,67.89,False,False,True,⭐ 弱勢反彈
2022-01-03,631.0,73703302,32537,1162,2134,35833,,84.56,73.45,False,False,True,⭐ 弱勢反彈
2022-01-04,656.0,90945643,29782,3971,1196,34948,,89.71,78.87,False,False,True,⭐ 弱勢反彈
2022-01-05,650.0,72505550,4788,602,-282,5108,,83.68,80.47,False,False,True,⭐ 弱勢反彈
2022-01-06,644.0,57490736,-11445,837,1182,-9427,,76.3,79.08,False,False,True,⭐ 弱勢反彈
2022-01-07,634.0,39847766,-10094,405,1176,-8513,,66.25,74.81,False,False,True,⭐ 弱勢反彈
2022-01-10,643.0,39286754,-343,417,425,499,,62.81,70.81,False,False,True,⭐ 弱勢反彈
2022-01-11,651.0,36186544,8261,260,-1005,7516,,64.3,68.64,False,False,True,⭐ 弱勢反彈
2022-01-12,660.0,40832298,15116,367,346,15829,,70.64,69.31,False,True,True,⭐⭐ 偏多觀察
2022-01-13,661.0,39172028,10859,706,-266,11300,,75.2,71.27,False,False,True,⭐ 弱勢反彈
2022-01-14,672.0,98768193,42593,865,-3180,40279,,82.74,75.1,False,False,True,⭐ 弱勢反彈
2022-01-17,683.0,63828552,19186,45,-318,18912,,85.76,78.65,False,False,True,⭐ 弱勢反彈
2022-01-18,662.0,48802321,-13959,-30,-207,-14196,,76.3,77.87,False,False,True,⭐ 弱勢反彈
2022-01-19,654.0,44092247,755,131,-1221,-336,,65.62,73.79,False,False,True,⭐ 弱勢反彈
2022-01-20,651.0,48996473,-8405,-2265,669,-10001,,56.86,68.14,False,False,True,⭐ 弱勢反彈
2022-01-21,641.0,53966101,-12789,442,349,-11999,,40.52,58.94,False,False,True,⭐ 弱勢反彈
2022-01-24,653.0,48665203,4882,373,-781,4474,,37.47,51.78,False,False,True,⭐ 弱勢反彈
2022-01-25,641.0,53927064,-18113,870,-692,-17935,,27.6,43.72,False,False,True,⭐ 弱勢反彈
2022-01-26,636.0,33093553,-9647,923,-70,-8795,,19.03,35.49,False,False,True,⭐ 弱勢反彈
2022-02-07,635.0,64637049,-3939,695,478,-2766,,15.02,28.67,True,False,True,⭐⭐ 偏多觀察
2022-02-08,628.0,43786259,-8742,885,125,-7732,,10.02,22.45,True,False,True,⭐⭐ 偏多觀察
2022-02-09,633.0,33633394,-745,-308,1471,417,,11.89,18.93,True,False,True,⭐⭐ 偏多觀察
2022-02-10,649.0,37388892,11053,115,-1244,9924,,32.06,23.31,True,True,True,⭐⭐⭐ 黃金買點
2022-02-11,650.0,28194682,3247,61,-117,3191,,48.53,31.72,False,False,True,⭐ 弱勢反彈
2022-02-14,637.0,39394670,-5554,710,3,-4841,,43.47,35.63,False,False,True,⭐ 弱勢反彈
2022-02-15,633.0,24497955,-7830,331,-325,-7823,,36.55,35.94,False,False,True,⭐ 弱勢反彈
2022-02-16,646.0,27395771,3211,233,-50,3395,,51.64,41.17,False,False,True,⭐ 弱勢反彈
2022-02-17,645.0,20447347,2665,80,323,3068,,60.19,47.51,False,False,True,⭐ 弱勢反彈
2022-02-18,637.0,21948975,-7116,255,508,-6354,,53.76,49.59,False,False,True,⭐ 弱勢反彈
2022-02-21,632.0,25769408,-10024,-7,329,-9702,,39.17,46.12,False,False,True,⭐ 弱勢反彈
2022-02-22,627.0,38526210,-12999,1083,-933,-12849,,28.78,40.34,False,False,True,⭐ 弱勢反彈
2022-02-23,625.0,34561338,-19180,274,1492,-17414,,21.66,34.11,False,False,False,❌ 空頭或無訊號
2022-02-24,604.0,80672979,-45666,1080,-612,-45198,,14.44,27.55,False,False,False,❌ 空頭或無訊號
2022-02-25,604.0,94155943,-48556,1580,946,-46031,,12.52,22.54,True,False,False,⭐ 弱勢反彈
2022-03-01,604.0,70303880,-25525,641,1379,-23506,,11.9,18.99,True,False,False,⭐ 弱勢反彈
2022-03-02,601.0,42428151,-20843,324,1110,-19408,,9.35,15.78,True,False,False,⭐ 弱勢反彈
2022-03-03,602.0,37103932,-16360,77,76,-16207,,8.73,13.43,True,False,False,⭐ 弱勢反彈
2022-03-04,595.0,65235167,-44219,292,-1085,-45012,,8.09,11.65,True,False,False,⭐ 弱勢反彈
2022-03-07,576.0,97167600,-59332,2340,-1158,-58150,,6.0,9.77,True,False,False,⭐ 弱勢反彈
2022-03-08,563.0,88371413,-45542,2011,171,-43361,,4.98,8.17,True,False,False,⭐ 弱勢反彈
2022-03-09,568.0,57512412,-28712,885,829,-26999,,7.34,7.9,True,False,False,⭐ 弱勢反彈
2022-03-10,587.0,49092145,-5750,491,1195,-4064,,22.58,12.79,True,True,False,⭐⭐ 偏多觀察
2022-03-11,575.0,42981381,-28702,416,714,-27571,,24.58,16.72,False,False,False,❌ 空頭或無訊號
2022-03-14,572.0,38562552,-19453,783,552,-18118,,24.36,19.27,False,False,False,❌ 空頭或無訊號
2022-03-15,558.0,84338792,-59184,1315,1124,-56746,,16.24,18.26,False,False,False,❌ 空頭或無訊號
2022-03-16,558.0,50764807,-19088,1122,-302,-18268,,13.21,16.57,True,False,False,⭐ 弱勢反彈
2022-03-17,582.0,65820899,20682,437,580,21699,,35.27,22.81,True,True,False,⭐⭐ 偏多觀察
2022-03-18,581.0,49583448,-1492,-1484,-295,-3271,,49.01,31.54,False,False,False,❌ 空頭或無訊號
2022-03-21,586.0,22800165,-922,373,187,-362,,63.06,42.05,False,False,False,❌ 空頭或無訊號
2022-03-22,583.0,23421124,-1392,346,-95,-1141,,69.49,51.2,False,False,False,❌ 空頭或無訊號
2022-03-23,590.0,27475008,6188,-228,619,6579,,79.66,60.69,False,False,False,❌ 空頭或無訊號
2022-03-24,591.0,20769676,3353,-21,-423,2909,,85.54,68.97,False,False,False,❌ 空頭或無訊號
2022-03-25,598.0,26794684,9215,214,42,9471,,90.36,76.1,False,False,False,❌ 空頭或無訊號
2022-03-28,584.0,27954730,-11744,209,605,-10930,,82.72,78.31,False,False,False,❌ 空頭或無訊號
2022-03-29,589.0,15742359,2644,414,82,3141,,75.44,77.35,False,False,False,❌ 空頭或無訊號
2022-03-30,600.0,43256548,18648,982,1371,21001,,83.62,79.44,False,True,False,⭐ 弱勢反彈
2022-03-31,597.0,25130417,3832,636,-508,3960,,82.42,80.43,False,False,False,❌ 空頭或無訊號
2022-04-01,589.0,31247086,-9674,240,-249,-9683,,70.94,77.27,False,False,False,❌ 空頭或無訊號
2022-04-06,578.0,40726932,-12254,649,493,-11111,,51.0,68.51,False,False,False,❌ 空頭或無訊號
2022-04-07,566.0,47212937,-26077,814,-399,-25662,,34.0,57.01,False,False,False,❌ 空頭或無訊號
2022-04-08,567.0,31406384,-15698,659,1150,-13889,,23.59,45.87,False,False,False,❌ 空頭或無訊號
2022-04-11,558.0,41713758,-22973,1233,-1611,-23351,,15.73,35.82,False,False,False,❌ 空頭或無訊號
2022-04-12,557.0,34799056,-7864,-597,152,-8309,,13.82,28.49,True,False,False,⭐ 弱勢反彈
2022-04-13,573.0,36968137,3453,877,855,5185,,23.21,26.73,True,False,False,⭐ 弱勢反彈
2022-04-14,573.0,20224847,-1517,238,-131,-1410,,29.48,27.64,False,True,False,⭐ 弱勢反彈
2022-04-15,562.0,33158930,-14217,655,-890,-14452,,28.66,27.98,False,False,False,❌ 空頭或無訊號
2022-04-18,561.0,16579296,-2495,1085,89,-1321,,29.82,28.6,False,False,False,❌ 空頭或無訊號
2022-04-19,565.0,18811242,1069,-346,709,1432,,36.55,31.25,False,False,False,❌ 空頭或無訊號
2022-04-20,570.0,28240222,3341,-148,-61,3132,,47.44,36.64,False,False,False,❌ 空頭或無訊號
2022-04-21,565.0,21539083,-2221,-413,661,-1973,,48.29,40.53,False,False,False,❌ 空頭或無訊號
2022-04-22,558.0,35567672,-16333,-1057,-311,-17701,,39.89,40.31,False,False,False,❌ 空頭或無訊號
2022-04-25,547.0,49067362,-23434,703,-949,-23680,,27.63,36.09,False,False,False,❌ 空頭或無訊號
2022-04-26,546.0,39549934,-12939,-17,-463,-13419,,20.38,30.85,False,False,False,❌ 空頭或無訊號
2022-04-27,526.0,65034122,-27820,1175,-162,-26808,,13.59,25.1,False,False,False,❌ 空頭或無訊號
2022-04-28,531.0,50406145,-7403,91,356,-6956,,14.61,21.6,True,False,False,⭐ 弱勢反彈
2022-04-29,538.0,39960198,-643,142,353,-148,,20.16,21.12,True,False,False,⭐ 弱勢反彈
2022-05-03,531.0,29502561,-3540,336,92,-3112,,19.0,20.41,False,False,False,❌ 空頭或無訊號
2022-05-04,534.0,17305449,-2065,-546,23,-2588,,20.3,20.38,True,False,False,⭐ 弱勢反彈
2022-05-05,542.0,22540182,1471,314,114,1900,,31.13,23.96,False,True,False,⭐ 弱勢反彈
2022-05-06,528.0,34512038,-10013,144,-581,-10451,,26.5,24.81,False,False,False,❌ 空頭或無訊號
2022-05-09,520.0,27309304,-8391,18,-487,-8861,,17.67,22.43,False,False,False,❌ 空頭或無訊號
2022-05-10,518.0,44322247,-8338,-109,324,-8123,,22.09,22.32,True,False,False,⭐ 弱勢反彈
2022-05-11,521.0,28109896,-2924,113,-272,-3083,,27.43,24.02,False,True,False,⭐ 弱勢反彈
2022-05-12,505.0,35824788,-11205,-18,-651,-11874,,18.29,22.11,False,False,False,❌ 空頭或無訊號
2022-05-13,511.0,30204773,-4075,120,2745,-1210,,17.32,20.51,True,False,False,⭐ 弱勢反彈
2022-05-16,520.0,22012610,5360,310,464,6134,,24.37,21.8,True,True,False,⭐⭐ 偏多觀察
2022-05-17,530.0,25812051,1627,356,1449,3432,,37.61,27.07,False,False,False,❌ 空頭或無訊號
2022-05-18,538.0,33605299,2055,213,-600,1669,,55.63,36.59,False,False,False,❌ 空頭或無訊號
2022-05-19,522.0,40798132,-12178,-99,-240,-12518,,52.83,42.0,False,False,False,❌ 空頭或無訊號
2022-05-20,530.0,26111163,3715,158,319,4192,,58.37,47.46,False,False,False,❌ 空頭或無訊號
2022-05-23,528.0,18919447,-39,47,437,445,,60.21,51.71,False,False,False,❌ 空頭或無訊號
2022-05-24,520.0,19130619,-3855,1469,-139,-2525,,54.03,52.48,False,False,False,❌ 空頭或無訊號
2022-05-25,524.0,22460245,-3965,2,1985,-1977,,53.16,52.71,False,False,False,❌ 空頭或無訊號
2022-05-26,514.0,31542825,-13629,95,68,-13466,,36.63,47.35,False,False,False,❌ 空頭或無訊號
2022-05-27,530.0,30113220,4687,166,1098,5952,,44.66,46.45,False,False,False,❌ 空頭或無訊號
2022-05-30,547.0,36480411,13819,491,842,15151,,63.11,52.0,False,True,False,⭐ 弱勢反彈
2022-05-31,560.0,81962870,14406,328,-795,13939,,75.4,59.8,False,False,False,❌ 空頭或無訊號
2022-06-01,549.0,32970903,-4503,-30,-382,-4915,,75.8,65.14,False,False,False,❌ 空頭或無訊號
2022-06-02,540.0,26063495,-3067,-1991,-300,-5359,,69.68,66.65,False,False,False,❌ 空頭或無訊號
2022-06-06,540.0,23732327,-3910,-69,480,-3499,,65.6,66.3,False,False,False,❌ 空頭或無訊號
2022-06-07,535.0,22152512,-5589,-63,824,-4828,,59.34,63.98,False,False,False,❌ 空頭或無訊號
2022-06-08,544.0,19609522,4544,-27,1254,5771,,61.55,63.17,False,False,False,❌ 空頭或無訊號
2022-06-09,541.0,16894479,-2306,252,293,-1761,,57.7,61.35,False,False,False,❌ 空頭或無訊號
2022-06-10,530.0,22614596,-14523,-11,257,-14277,,39.54,54.08,False,False,False,❌ 空頭或無訊號
2022-06-13,516.0,36758925,-23234,71,-1403,-24566,,27.1,45.08,False,False,False,❌ 空頭或無訊號
2022-06-14,513.0,38838778,-19467,79,237,-19150,,22.23,37.47,False,False,False,❌ 空頭或無訊號
2022-06-15,509.0,38360508,-13779,246,-374,-13907,,16.58,30.5,False,False,False,❌ 空頭或無訊號
2022-06-16,508.0,31908028,1620,-8,-1398,214,,11.93,24.31,True,False,False,⭐ 弱勢反彈
2022-06-17,501.0,48400798,-17118,-1523,-771,-19412,,9.4,19.34,True,False,False,⭐ 弱勢反彈
2022-06-20,498.0,36664463,-12073,584,-804,-12293,,8.27,15.65,True,False,False,⭐ 弱勢反彈
2022-06-21,505.0,34432537,6228,281,3219,9727,,12.6,14.64,True,False,False,⭐ 弱勢反彈
2022-06-22,494.5,33438921,-8516,312,-704,-8908,,8.4,12.56,True,False,False,⭐ 弱勢反彈
2022-06-23,485.5,46808462,-6892,426,4551,-1916,,6.09,10.4,True,False,False,⭐ 弱勢反彈
2022-06-24,486.5,29003676,-2298,160,6514,4376,,5.67,8.83,True,False,False,⭐ 弱勢反彈
2022-06-27,498.5,38684368,7085,231,1915,9230,,18.3,11.98,True,True,False,⭐⭐ 偏多觀察
